,artist,title,url,gender,division,medium,colors,dated,century,culture,description
5049,Fujiwara Tameie,"Poet Ariwara no Motokata (d. 953), from an illustrated Competition of Poems from Different Periods (Jidai fudō uta-awase)",https://www.harvardartmuseums.org/collections/object/211707,male,Asian and Mediterranean Art,Handscroll fragment mounted as a hanging scroll; ink on paper,"Orange, Brown, Brown, Yellow, Grey, Green, Grey","Kamakura period, circa 1300-1325",12th-14th century,Japanese,
5050,James Brooks,Left panel of Triptych,https://www.harvardartmuseums.org/collections/object/211923,male,Modern and Contemporary Art,Oil on canvas mounted on pressboard,"Red, Red, Blue, Grey, Brown, Orange, Blue, Red",1952,20th century,American,
5051,Sakai Hōitsu 酒井抱一,Morning Glories and Butterflies,https://www.harvardartmuseums.org/collections/object/211939,male,Asian and Mediterranean Art,"Left scroll from a pair of hanging scrolls; ink, color and gold pigment on silk","Brown, Brown, Yellow, Green, Green, Blue, Green, Blue, Blue, Blue",19th century,19th century,Japanese,"This is the left scroll from a pair of hanging scrolls created as a coordinated set. It depicts a small cluster of blue morning glories that wrap around a thin stick of bamboo. The scene is further embellished with an exquisite rendering of a white butterfly, approaching the blue morning glories from the upper right. Executed in ink, color, and gold pigments on silk, the painting includes an artist’s signature and seal in the lower left corner."
5052,"Unknown Artist, Itō Jakuchū 伊藤若冲",Rooster and Grapevine,https://www.harvardartmuseums.org/collections/object/211958,"unknown, male",Asian and Mediterranean Art,Hanging scroll; ink on paper,"Brown, Brown, Yellow, Grey, Yellow, Green, Green",18th-19th century,18th-19th century,Japanese,"Executed in plain black ink on paper, this painting in hanging scroll format depicts a long-tailed rooster and fruiting grapevine. Seemingly stepping forward toward the viewer, with its left leg raised mid-step, the rooster turns its head to its right (viewer’s left) with beak opened, as if emitting a cry. Behind the rooster, a fruiting grapevine at the upper right of the composition, with stems and foliage rendered in washes of light gray and grapes in darker black ink, includes an arching branch that stretches leftward, mimicking the curve of the rooster’s dark tail. Two square red intaglio seal appear in the lower right corner of the painting."
5053,Kano Yūsen,Sparrows on a Branch of Nandina in Winter,https://www.harvardartmuseums.org/collections/object/211962,male,Asian and Mediterranean Art,"Hanging scroll; ink and color on paper; with signature reading ""Yusen Hogen""","Brown, Yellow, Brown, Brown, Green",late 18th-early 19th century,18th-19th century,Japanese,"Executed in ink, color, and white pigment on silk, this charming painting in hanging scroll format presents a winter scene of a nandina bush with three sparrows perched upon the plant’s snow-laden branches. From the lower left corner of the composition, the woody stalks of nandina reach upwards, culminating in clusters of leave reddish orange berries that appear from afar to be covered in snow, as large unpainted areas of reserved light silk surround the foliage. A pair of sparrows sits huddled together on the bush’s lower branches; they glance upward toward a single sparrow, who rests upon an upper branch and returns their gaze. An ink wash was applied to the silk to carefully darken background areas of the picture field and suggest dark clouds on a snowy day. Splashes of white pigment, representing falling snow flakes, further embellish the winter scene. A signature and red square intaglio seal appear at the lower left, just to the right of the nandina stalks emerging from the ground."
5055,James Brooks,Right panel of Triptych,https://www.harvardartmuseums.org/collections/object/212474,male,Modern and Contemporary Art,Oil on canvas mounted on pressboard,"Yellow, Yellow, Blue, Brown, Brown, Yellow, Blue, Green, Grey, Green",1952,20th century,American,
5056,"John Ferguson Weir, Daniel Cady Eaton",Daniel Cady Eaton (1834-1895),https://www.harvardartmuseums.org/collections/object/213024,"unknown, unknown",European and American Art,Oil on canvas,"Brown, Brown, Brown, Brown",c. 1890-1895,19th-20th century,American,
5060,Fernand Léger,The Divers,https://www.harvardartmuseums.org/collections/object/213926,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Orange, Green, Grey, Blue, White, Red, Green, Grey",1943,20th century,French,
5061,Donald Outerbridge,"Dunster House Seen from the Charles, Upstream",https://www.harvardartmuseums.org/collections/object/214310,unknown,Modern and Contemporary Art,Oil on composite board,"Brown, Brown, Brown, Yellow, Blue, Grey, Red, Brown, Red, Grey",1952,20th century,American,
5065,"Robert Douglas Hunter, Richard Evans Schultes, W. F. Scott",Richard Evans Schultes (1915-2001),https://www.harvardartmuseums.org/collections/object/215224,"unknown, unknown, unknown",Modern and Contemporary Art,Oil on canvas,"Yellow, Yellow, Red, Green, Yellow, Green, Yellow, Green, Yellow, Green",1984,20th century,American,
5066,Donald Outerbridge,"Harvard Seen from the Charles, Downstream",https://www.harvardartmuseums.org/collections/object/215233,unknown,Modern and Contemporary Art,Casein underpainting and oil overpainting,"Brown, Yellow, Grey, Green, Brown, Green, Grey, Yellow, Brown, Violet",1952-1955,20th century,American,
5068,Xanti Schawinsky,Inversal,https://www.harvardartmuseums.org/collections/object/215382,male,Modern and Contemporary Art,Acrylic paint on canvas board and mesh,"Brown, Green, Red, Red, Red, Red, Green, Grey, Yellow, Grey",1976,20th century,Swiss,
5070,Jai Kisan of Malpura,"Khambhavati Ragini, from a Ragamala (Garland of Melodies) Series",https://www.harvardartmuseums.org/collections/object/215799,male,Asian and Mediterranean Art,"Ink, opaque watercolor and gold on paper","Orange, Orange, Green, Brown, Orange, Brown, Green, Brown, Green, Blue",18th century,18th century,Indian,"The four-headed Brahma, Hindu god of creation and one of the members of the Trimurti (Trinity), sits cross-legged on a large pink lotus. He wears a large gold crown, topped with lotuses, that spans his four heads; a pendant necklace, strands of large pearls, bracelets, and a yellow dhoti, a garment worn by male Hindus that consists of a piece of fabric tied around the waist and extending to cover most of the legs. Two of his four hands holds paper with black inscriptions. Based on the text associated with the image, Brahma is most likely holding the Vedas in hands. Another hand holds a large gold ladle and the fourth gestures in conversation. He faces a kneeling female mendicant who provides a fire offering to the God. The female devotee wears a chaniya choli, consisting of a pink crop top and a long blue and red skirt. A translucent shawl covers her head and runs down her body. She is also adorned with jewelry, consisting of a heard ornament, a pendant necklace, strands of pearls, armlets, bracelets, earrings, and a nose ring. Her hands are raised in veneration. Behind her is a standing female attendant who holds a white scarf over the mendicant’s head, denoting the latter’s royal status. The attendant wears a chaniya choli consisting of a yellow crop top and green skirt; a shawl that covers her head and runs down her back; earrings; nose ring; armlets; and bracelets. In the background is a large white pavilion flanked by tall green trees. Male peacocks perch on some of these trees. The blue sky bears wispy clouds and a gold sun with a smiling face. "
5092,"Manaku of Guler, Unknown Artist","Krishna and the Cow Herders Return at Cow-dust, Illustration from a  Bhagavata Purana Series",https://www.harvardartmuseums.org/collections/object/216416,"male, unknown",Asian and Mediterranean Art,"Opaque watercolor and gold on paper; Pahari Style, Kangra School","Brown, Yellow, Grey, Green, Brown, Brown, Blue, Green, Grey, Grey",late 18th century,18th century,Indian,"In this painting, Krishna, the eighth avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, returns to the village with his fellow cow herders and their cows in the late afternoon, known as cow-dust time. Pahari Style, Kangra School."
5101,Nur al-Din,Krishna and Radha,https://www.harvardartmuseums.org/collections/object/216690,unknown,Asian and Mediterranean Art,"Opaque watercolor and gold on paper; Rajput Style, Bikaner School","Green, Yellow, Yellow, Green, Yellow, Blue, Red, Blue, Yellow, Green",c. 1675,17th century,Indian,"This painting features Krishna, the eighth avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, facing his consort, Radha, in a landscape. In his left hand, Krishna carries a flute, one of his attributes, while his right hand touches his forehead. Rajput Style, Bikaner School."
5118,Nicolas Régnier,Self-Portrait with an Easel,https://www.harvardartmuseums.org/collections/object/217448,unknown,European and American Art,Oil on canvas,"Grey, Brown, Yellow, Brown, Brown, Red, Yellow, Brown, Yellow, Green",c. 1620-c. 1625,17th century,French,
5119,"Unknown Artist, John Zoffany",Colonel Mordaunt's Cockfight (after Zoffany),https://www.harvardartmuseums.org/collections/object/217690,"unknown, male",Asian and Mediterranean Art,Opaque watercolor on paper,"Grey, Yellow, Grey, Green, Green, Yellow",c. 1800,18th-19th century,Indian,
5120,George Grosz,Nutcracker,https://www.harvardartmuseums.org/collections/object/218157,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Brown, Grey, Grey, Grey, Green, Brown, Brown, Yellow",1931,20th century,German,
5123,Luca Giordano,The Well of Bethesda,https://www.harvardartmuseums.org/collections/object/219687,male,European and American Art,Oil on canvas,"Brown, Brown, Yellow, Brown, Yellow, Brown, Yellow, Yellow, Green",c. 1687,17th century,Italian,
5124,Christian Krohg,Fisherman,https://www.harvardartmuseums.org/collections/object/220262,unknown,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Green, Grey, Grey, Brown",c. 1880,19th century,Norwegian,
5125,Georg Baselitz,Triangle,https://www.harvardartmuseums.org/collections/object/221365,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Blue, Grey, Grey, Grey",1991,20th century,German,
5126,Edvard Munch,Portrait Study,https://www.harvardartmuseums.org/collections/object/221371,male,European and American Art,Oil on canvas,"Brown, Brown, Grey, Yellow, Brown, Grey, Yellow, Brown, Orange, Blue",1895,19th century,Norwegian,
5127,Albert Birkle,In Upper Silesia,https://www.harvardartmuseums.org/collections/object/221427,unknown,Modern and Contemporary Art,Oil on canvas,"Brown, Red, Brown, Brown, Orange, Yellow, Brown, Yellow, Blue, Black",1928,20th century,German,
5129,"Gustav Richter, George Bancroft",George Bancroft (1800-1891),https://www.harvardartmuseums.org/collections/object/221579,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Brown, Green, Green, Green, Orange, Yellow, Brown, Brown",19th century,19th century,German,
5130,László Moholy-Nagy,Z VI,https://www.harvardartmuseums.org/collections/object/221677,male,Modern and Contemporary Art,"Oil, ink, and graphite on canvas","Red, Grey, Grey, Brown, Grey, Green, Grey, Grey, Orange, Red",1925,20th century,Hungarian,
5131,Wassily Kandinsky,Winter Landscape,https://www.harvardartmuseums.org/collections/object/222162,male,Modern and Contemporary Art,Oil and wax on cardboard,"Grey, Blue, Grey, Blue, Grey, Grey, Grey, Brown, Blue, Blue",1910,20th century,German,"
"
5132,Jean Metzinger,Portrait,https://www.harvardartmuseums.org/collections/object/222182,unknown,Modern and Contemporary Art,Oil on canvas,"Blue, Brown, Green, Green, Grey, Red, Grey, Grey, Blue, Grey",1912,20th century,French,
5133,Christoph Schwarz,Adoration of the Shepherds,https://www.harvardartmuseums.org/collections/object/222202,unknown,European and American Art,Oil on canvas,"Brown, Brown, Brown, Yellow, Brown, Brown, Green, Brown",16th century,16th century,German,
5134,Joan Miró,The Bottle and the Pepper,https://www.harvardartmuseums.org/collections/object/222212,male,Modern and Contemporary Art,Oil on cardboard,"Grey, Grey, Yellow, Green, Green, Green, White, Green, Grey, Blue",1915,20th century,Spanish,
5136,William Valentine Schevill,Self-Portrait,https://www.harvardartmuseums.org/collections/object/222343,unknown,European and American Art,Oil on canvas,"Brown, Grey, Grey, Green, Grey, Grey, Brown, Brown, Yellow, Brown",19th-20th century,19th-20th century,German,
5137,Johann Walter-Kurau,Rhythmic Trees,https://www.harvardartmuseums.org/collections/object/222390,male,Modern and Contemporary Art,Oil on composition board,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",20th century,20th century,German,
5138,Carl von Marr,Woman in Profile,https://www.harvardartmuseums.org/collections/object/222423,unknown,European and American Art,Oil on composition board,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",19th-20th century,19th-20th century,German,
5139,Hans von Aachen,Venus and Adonis,https://www.harvardartmuseums.org/collections/object/222437,male,European and American Art,Oil on canvas,"Brown, Green, Green, Yellow, Yellow, Brown, Green, Yellow, Brown, Orange",c. 1574-1588,16th century,German,
5140,Josef Albers,Four Greens,https://www.harvardartmuseums.org/collections/object/222565,male,Modern and Contemporary Art,Oil on Masonite,"Green, Grey, Green, Green, Grey, Grey, Grey, Green, Green, Brown",1964,20th century,American,
5141,Lyonel Feininger,Untitled (Skyscrapers),https://www.harvardartmuseums.org/collections/object/222590,male,Modern and Contemporary Art,Oil on canvas,"Brown, Green, Grey, Brown, Brown, Grey, Yellow, Grey, Grey, Green",c. 1950-1955,20th century,American,
5142,Lyonel Feininger,The Old Man in the Woods,https://www.harvardartmuseums.org/collections/object/222626,male,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Black, Blue, Blue, Blue, Blue, Blue, Black, White",1955,20th century,American,"Corresponds to slides BRLF.1001.308, 313-315"
5143,Lyonel Feininger,Untitled (Church),https://www.harvardartmuseums.org/collections/object/222627,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, White, Black, Grey",c. 1950-1955,20th century,American,
5144,Johann Heinrich Tischbein the Elder,Cleopatra at her Toilet,https://www.harvardartmuseums.org/collections/object/222866,male,European and American Art,Oil on canvas,"Grey, Brown, Grey, Green, Green, Green, Red",1767,18th century,German,
5145,Johann Heinrich Tischbein the Elder,Mark Antony Visiting Cleopatra after His Defeat of Octavian,https://www.harvardartmuseums.org/collections/object/222889,male,European and American Art,Oil on canvas,"Yellow, Brown, Brown, Grey, Red, Yellow, Brown, Green, Brown, Grey",1767,18th century,German,
5146,"Master of the Antwerp Adoration, Unidentified Artist",Christ among the Doctors,https://www.harvardartmuseums.org/collections/object/222981,"unknown, unknown",European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey, Grey",16th century,16th century,Netherlandish,
5147,Richard Baringer,Composition,https://www.harvardartmuseums.org/collections/object/223010,unknown,Modern and Contemporary Art,Oil on canvas,"Orange, Brown, Yellow, Brown, Orange, Brown, Yellow, Brown, Orange, Orange",1948,20th century,American,
5148,Karl Hofer,Figures in a Landscape,https://www.harvardartmuseums.org/collections/object/223165,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",c. 1935,20th century,German,
5149,Wassily Kandinsky,Jocular Sounds,https://www.harvardartmuseums.org/collections/object/223405,male,Modern and Contemporary Art,Oil on composition board,"Grey, Green, Grey, Grey, Blue, Violet, Red, Grey",1929,20th century,German,
5150,Anton von Maron,Archibald Menzies,https://www.harvardartmuseums.org/collections/object/223527,unknown,European and American Art,Oil on canvas,"Brown, Grey, Red, Brown, Yellow, Brown, Brown, Brown, Orange, Green",1763,18th century,Austrian,
5151,Karl Schmidt-Rottluff,Still Life,https://www.harvardartmuseums.org/collections/object/223725,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Blue, Blue, Blue, Orange, Orange, Orange, Grey, White",1913,20th century,German,
5152,Alexei von Jawlensky,Head of a Woman,https://www.harvardartmuseums.org/collections/object/225206,male,Modern and Contemporary Art,Oil on cardboard,"Grey, Brown, Brown, Grey, Green, Blue, Green, Blue, Red, Orange",c. 1911,20th century,German,"There is a painting of seated woman on the verso of  ""Head of a Woman."" According to the catalogue raisonne, this overpainted image on the verso dates to c. 1908-09."
5153,Sewell Sillman,Abstraction,https://www.harvardartmuseums.org/collections/object/225490,male,Modern and Contemporary Art,Oil on masonite,"Green, Red, Yellow, Brown, Orange, Brown, Grey, Brown, Yellow, Brown",20th century,20th century,American,
5154,Jane Slater Marquis,White on Black,https://www.harvardartmuseums.org/collections/object/225519,unknown,Modern and Contemporary Art,Oil on paper,"Black, Black",20th century,20th century,American,
5155,Joan Stack,Fish,https://www.harvardartmuseums.org/collections/object/225520,unknown,Modern and Contemporary Art,,"Green, Green, Black, Brown, Green, Grey, Blue, Green, Red, Brown",20th century,20th century,American,
5156,Arthur Kampf,Portrait of Hugo Reisinger,https://www.harvardartmuseums.org/collections/object/226112,unknown,European and American Art,Oil on canvas,"Brown, Brown, Brown, Yellow, Orange, Brown, Brown, Brown, Green, Yellow",1910,20th century,German,
5157,Maud Morgan,"Homage to Martin Luther King, Jr.",https://www.harvardartmuseums.org/collections/object/226154,female,Modern and Contemporary Art,Oil on canvas,"Green, Grey, Red, Grey, Brown, Blue, Grey",1968,20th century,American,
5158,Peter Paul Rubens,Saint Peter,https://www.harvardartmuseums.org/collections/object/226173,male,European and American Art,Oil on panel,"Black, Black, Brown, Red, Brown, Orange, Orange, Brown, Brown, Yellow",c. 1615,17th century,Flemish,
5159,William Valentine Schevill,Portrait of Adolphus Busch,https://www.harvardartmuseums.org/collections/object/226264,unknown,European and American Art,Oil on canvas,"Grey, Grey, Black, Grey, Grey, Grey, Grey, White",20th century,20th century,American,
5160,Juan Gris,Le Pierrot au Rideau,https://www.harvardartmuseums.org/collections/object/226295,male,Modern and Contemporary Art,Oil on canvas,"Orange, Yellow, Violet, Red, Brown, Black, Green, Brown, Black",c. 1924,20th century,Spanish,
5161,Rollin Crampton,No. 8,https://www.harvardartmuseums.org/collections/object/226297,unknown,Modern and Contemporary Art,Gouache or acrylic emulsion on textured mill-board (probably beaverboard),"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, White",1952,20th century,American,
5162,Earl Kerkam,Head No. 24,https://www.harvardartmuseums.org/collections/object/226302,male,Modern and Contemporary Art,Oil on board,"Red, Grey, Blue, Green, Brown, Blue, Blue, Black, Blue, Brown",c. 1956,20th century,American,
5163,Denman Waldo Ross,Basil Parker,https://www.harvardartmuseums.org/collections/object/226422,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Orange, Grey, Red",19th-20th century,19th-20th century,American,
5164,Denman Waldo Ross,Edward Kenny,https://www.harvardartmuseums.org/collections/object/226427,male,European and American Art,Oil on canvas,"Grey, Brown, Red, Grey, Brown, Yellow, Grey",19th-20th century,19th-20th century,American,
5165,Rebecca Salsbury Strand James,Paul,https://www.harvardartmuseums.org/collections/object/226428,female,Modern and Contemporary Art,Oil on glass,"Grey, Grey, Green, Green, Grey, Grey, Grey, Grey, Grey, Grey",1934,20th century,American,
5166,"Anne Susan Zileri, John Singer Sargent","John Singer Sargent's Dining Room, 31 Tite Street, Chelsea",https://www.harvardartmuseums.org/collections/object/226440,"female, male",European and American Art,Oil on canvas,"Grey, Yellow, Green, Green, Red, Red, Red",19th-20th century,19th-20th century,British,
5167,Lewis W. Rubenstein,"Oil sketch for the mural ""Ragnarok""",https://www.harvardartmuseums.org/collections/object/226474,male,Modern and Contemporary Art,Oil on canvas,,1936,20th century,American,
5168,Félix François Georges Philibert Ziem,"View of the Lagoon, Venice",https://www.harvardartmuseums.org/collections/object/226698,male,European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, White, Grey, Grey, Grey",19th-20th century,19th-20th century,French,
5169,John Singer Sargent,"Study for ""History,"" Museum of Fine Arts, Boston",https://www.harvardartmuseums.org/collections/object/226699,male,European and American Art,Oil on canvas,"Yellow, Yellow, Yellow, Green, Brown, Brown, Green, Yellow, Orange",1916 - 1921,20th century,American,"See related Fogg Art Museum drawings: 1931.166, 1931.167, 1929.299."
5170,Denman Waldo Ross,Portrait of a Boy with a Brass Pot,https://www.harvardartmuseums.org/collections/object/226792,male,European and American Art,Oil on canvas,"Brown, Orange, Violet, Orange, Grey, Brown, Grey, Grey, Violet, Brown",19th-20th century,19th-20th century,American,
5171,Denman Waldo Ross,Portrait of a Young Man in White Undershirt,https://www.harvardartmuseums.org/collections/object/226801,male,European and American Art,Oil on canvas,"Violet, Orange, Violet, Grey, Grey, Violet, Grey, Red",19th-20th century,19th-20th century,American,
5172,Pat Lipsky,George,https://www.harvardartmuseums.org/collections/object/226872,female,Modern and Contemporary Art,Acrylic paint on canvas,"Brown, Green, Violet, Brown, Orange, Blue, Green, Violet, Blue, Green",1969,20th century,American,
5173,"Pieter Mulier the Younger, called Tempesta",A Pastoral Landscape,https://www.harvardartmuseums.org/collections/object/226886,unknown,European and American Art,"Oil on canvas, mounted on aluminum","Grey, Grey, Grey, Grey, White, Grey, Grey, Black",17th-18th century,17th-18th century,Dutch,
5174,Denman Waldo Ross,Portrait of a Seated Young Man,https://www.harvardartmuseums.org/collections/object/226897,male,European and American Art,Oil on canvas,"Brown, Red, Brown, Brown, Violet, Red, Brown, Green, Violet, Yellow",1911,20th century,American,
5175,Frank Stella,Red River Valley,https://www.harvardartmuseums.org/collections/object/226973,male,Modern and Contemporary Art,Oil on canvas,"Green, Red, Green, Grey, Green, Grey, Red, Green, Green",1958,20th century,American,
5176,Michael Lewis,Shadows in the Garden,https://www.harvardartmuseums.org/collections/object/227070,unidentified,Modern and Contemporary Art,Oil on canvas,"Grey, Black, Grey, White",ca. 1985,20th century,American,
5177,Albert Pinkham Ryder,Golden Twilight,https://www.harvardartmuseums.org/collections/object/227127,unknown,,Oil/resin on paper glued to twill canvas glued to plain weave canvas,,19th-20th century,19th-20th century,American,
5178,Ralph Albert Blakelock,City View with Moon,https://www.harvardartmuseums.org/collections/object/227219,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey",19th-20th century,19th-20th century,American,
5179,Master of 1518,The Adoration of the Magi; left panel: The Nativity; right panel: The Presentation in the Temple,https://www.harvardartmuseums.org/collections/object/227236,unknown,European and American Art,Oil on panel,"Grey, Grey, Yellow, Brown, Brown, Brown, Yellow, Brown, Green, Green",c. 1520,16th century,Netherlandish,
5180,Joachim Wtewael,A Shepherdess,https://www.harvardartmuseums.org/collections/object/227265,unknown,European and American Art,Oil on panel,"Brown, White, Brown, Brown, Yellow, Brown, Brown, Brown, Orange, Grey",c. 1623,17th century,Dutch,
5181,"Gerard David, Master of Évora, Gerard David",The Descent of the Holy Spirit,https://www.harvardartmuseums.org/collections/object/227347,"unknown, unknown, unknown",European and American Art,Oil on canvas,"Grey, Green, Brown, Green, Green, Brown, Red, Blue, Green, Blue",c. 1515,16th century,Flemish,
5182,Abbott Handerson Thayer,Angel,https://www.harvardartmuseums.org/collections/object/227484,male,European and American Art,Oil on canvas,"Brown, Brown, Yellow, Green, Yellow, Brown, Orange, Grey, Black",c. 1900-1903,20th century,American,
5183,Frederick John Mulhaupt,Barges on the Seine,https://www.harvardartmuseums.org/collections/object/227493,unknown,Modern and Contemporary Art,"Oil on canvas, adhered to masonite","Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",1906,20th century,American,
5184,Giovanni Battista Viola,Landscape with Tobias and the Angel,https://www.harvardartmuseums.org/collections/object/227512,unknown,European and American Art,Oil on panel,"Brown, Green, Green, Green, Blue, Green, Brown, Green, Yellow, Red",c. 1620-1622,17th century,"Italian, Roman",
5185,Edward Estlin Cummings,Rebecca Clarke Cummings (Mrs. Edward Cummings) (1860-1947),https://www.harvardartmuseums.org/collections/object/227545,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",1934,19th-20th century,American,
5186,Pablo Ruiz Picasso,Woman in Blue,https://www.harvardartmuseums.org/collections/object/227565,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Blue, Blue, Grey, Grey, Grey, Grey, Blue, Grey",1949,20th century,Spanish,
5187,Paul Rotterdam,Substance 240,https://www.harvardartmuseums.org/collections/object/227592,male,Modern and Contemporary Art,Acrylic and oil on cotton duck on a complex stretcher w/four sections w/two stri,"Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White, Grey",1975,20th century,American,
5188,William Formby Halsall,"Camden Harbor, Maine",https://www.harvardartmuseums.org/collections/object/227593,unknown,European and American Art,Oil on canvas,"Yellow, Grey, Grey, Green, Grey, Brown, Grey, Green, Brown, Brown",c. 1898,19th-20th century,American,
5190,"Unidentified Artist, Anne Vallayer-Coster, Thomas-Germain-Joseph Duvivier",Still Life with a Statuette of the Borghese Warrior and Attributes of the Arts,https://www.harvardartmuseums.org/collections/object/227615,"unknown, unknown, unknown",European and American Art,Oil on canvas,"Black, Grey, Grey, Grey, White",18th century,18th century,French,
5191,Hans Hartung,T 56-12,https://www.harvardartmuseums.org/collections/object/227644,male,Modern and Contemporary Art,Oil on canvas,"Grey, Brown, Black, Brown, Brown, Brown, Yellow, Yellow, Brown",1956,20th century,French,
5192,Rembrandt Harmensz. van Rijn,Portrait of an Old Man,https://www.harvardartmuseums.org/collections/object/227666,male,European and American Art,Oil on canvas,"Grey, Brown, Brown, Orange, Brown, Yellow, Yellow",c. 1650-1655,17th century,Dutch,
5193,Pierre-Auguste Renoir,Portrait of a Young Woman,https://www.harvardartmuseums.org/collections/object/227725,male,European and American Art,Oil on canvas,,19th-20th century,19th-20th century,French,
5194,"Frederic Remington, Frederic Remington",Plains Pony,https://www.harvardartmuseums.org/collections/object/227752,"unknown, unknown",European and American Art,Oil on cardboard,"Brown, Green, Brown, Black, Yellow, Yellow, Yellow, Yellow, Green, Yellow",19th-20th century,19th-20th century,American,
5195,Jan van Goyen,Harbor Scene with a Watchtower and Beacon,https://www.harvardartmuseums.org/collections/object/227791,male,European and American Art,Oil on canvas,"Green, Green, Green, Brown, Grey, Green, Green, Orange, Yellow, Green",1636,17th century,Dutch,
5196,"Job Berckheyde, Gerrit Adriaensz Berckheyde","The Nieuwmarkt, Amsterdam",https://www.harvardartmuseums.org/collections/object/227792,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",17th century,17th century,Dutch,
5197,Sir Joshua Reynolds,Lady Louisa Conolly,https://www.harvardartmuseums.org/collections/object/227799,male,European and American Art,Oil on canvas,"Brown, Grey, Green, Brown, Yellow, Brown, Brown",1775,18th century,British,
5199,Henry Berne,George Washington  (1732-1799),https://www.harvardartmuseums.org/collections/object/227807,unknown,European and American Art,Oil on ivory,"Grey, Black, Grey, Grey, White",1732-1799,18th century,British,
5200,Josef Albers,Four Greens,https://www.harvardartmuseums.org/collections/object/222565,male,Modern and Contemporary Art,Oil on Masonite,"Green, Grey, Green, Green, Grey, Grey, Grey, Green, Green, Brown",1964,20th century,American,
5201,Lyonel Feininger,Untitled (Skyscrapers),https://www.harvardartmuseums.org/collections/object/222590,male,Modern and Contemporary Art,Oil on canvas,"Brown, Green, Grey, Brown, Brown, Grey, Yellow, Grey, Grey, Green",c. 1950-1955,20th century,American,
5202,Lyonel Feininger,The Old Man in the Woods,https://www.harvardartmuseums.org/collections/object/222626,male,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Black, Blue, Blue, Blue, Blue, Blue, Black, White",1955,20th century,American,"Corresponds to slides BRLF.1001.308, 313-315"
5203,Lyonel Feininger,Untitled (Church),https://www.harvardartmuseums.org/collections/object/222627,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, White, Black, Grey",c. 1950-1955,20th century,American,
5204,Johann Heinrich Tischbein the Elder,Cleopatra at her Toilet,https://www.harvardartmuseums.org/collections/object/222866,male,European and American Art,Oil on canvas,"Grey, Brown, Grey, Green, Green, Green, Red",1767,18th century,German,
5205,Johann Heinrich Tischbein the Elder,Mark Antony Visiting Cleopatra after His Defeat of Octavian,https://www.harvardartmuseums.org/collections/object/222889,male,European and American Art,Oil on canvas,"Yellow, Brown, Brown, Grey, Red, Yellow, Brown, Green, Brown, Grey",1767,18th century,German,
5206,"Master of the Antwerp Adoration, Unidentified Artist",Christ among the Doctors,https://www.harvardartmuseums.org/collections/object/222981,"unknown, unknown",European and American Art,Oil on panel,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey, Grey",16th century,16th century,Netherlandish,
5207,Richard Baringer,Composition,https://www.harvardartmuseums.org/collections/object/223010,unknown,Modern and Contemporary Art,Oil on canvas,"Orange, Brown, Yellow, Brown, Orange, Brown, Yellow, Brown, Orange, Orange",1948,20th century,American,
5208,Karl Hofer,Figures in a Landscape,https://www.harvardartmuseums.org/collections/object/223165,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",c. 1935,20th century,German,
5209,Wassily Kandinsky,Jocular Sounds,https://www.harvardartmuseums.org/collections/object/223405,male,Modern and Contemporary Art,Oil on composition board,"Grey, Green, Grey, Grey, Blue, Violet, Red, Grey",1929,20th century,German,
