,artist,title,url,gender,division,medium,colors,dated,century,culture,description
3294,Edward D.E. Greene,A Light-Haired Woman,https://www.harvardartmuseums.org/collections/object/231938,unknown,European and American Art,Oil on canvas,"Red, Grey, Brown, Orange, Orange, Orange, Brown, Yellow, Brown, Brown",c. 1855-1860,19th century,American,
3296,Polidoro da Lanciano,Virgin and Child and Saint Jerome,https://www.harvardartmuseums.org/collections/object/231979,unknown,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Black",16th century,16th century,"Italian, Venetian",
3297,"Marco Zoppo, Agnolo and Bartolomeo Erri, Francesco del Cossa",Youth Saluting a King,https://www.harvardartmuseums.org/collections/object/231993,"male, unknown, unknown",European and American Art,Tempera on panel,"Brown, Brown, Black, Black, Brown, Brown, Yellow, Yellow, Red, Yellow",15th century,15th century,"Italian, Emilian, Bolognese",
3298,Bartholomäus Zeitblom,Saint John the Evangelist and Saint James the Greater,https://www.harvardartmuseums.org/collections/object/231995,unknown,European and American Art,Oil on panel,"Red, Yellow, Brown, Yellow, Grey, Grey, Black, Black, Yellow",15th-16th century,15th-16th century,German,
3301,Friedrich Johann Voltz,Cows in a Landscape,https://www.harvardartmuseums.org/collections/object/232036,male,European and American Art,Oil on panel,,1871,19th century,German,
3304,Bartholomäus Zeitblom,Saint Peter and Saint Paul,https://www.harvardartmuseums.org/collections/object/232060,unknown,European and American Art,Oil on panel,"Grey, Red, Yellow, Brown, Brown, Green, Brown, Red, Green, Green",15th-16th century,15th-16th century,German,
3305,Barbara Cushing,Backyards on North Main Street,https://www.harvardartmuseums.org/collections/object/232076,female,Modern and Contemporary Art,Oil on canvas,,1977,20th century,American,
3306,Barbara Cushing,Old Town Paper Mill,https://www.harvardartmuseums.org/collections/object/232077,female,Modern and Contemporary Art,Oil on canvas,,1978,20th century,American,
3307,Joos van Cleve,The Virgin and Child,https://www.harvardartmuseums.org/collections/object/232094,unknown,European and American Art,Oil on panel,"Brown, Brown, Brown, Yellow, Brown, Red, Grey, Red, Grey, White",16th century,16th century,Flemish,
3308,Washington Allston,"First study for ""Christ Healing the Sick""",https://www.harvardartmuseums.org/collections/object/232198,male,European and American Art,Oil on composition board,"Brown, Red, Brown, Yellow, Brown, Yellow",c. 1813,19th century,American,
