,artist,title,data_source,url
4340,"Italian, Rome",Saint Filippo Neri,ISG,https://www.gardnermuseum.org/experience/collection/10756#object-details
4341,"Italian, Northern Italy",Three Scenes from the Old Testament,ISG,https://www.gardnermuseum.org/experience/collection/10757#object-details
4342,Jacopo Palma il Giovane,Scene from the History of Joseph,ISG,https://www.gardnermuseum.org/experience/collection/10758#object-details
4343,Jacopo Palma il Giovane,Scene from the History of Joseph,ISG,https://www.gardnermuseum.org/experience/collection/10759#object-details
4344,Paolo Veronese,Scene from the Metamorphoses of Ovid: The Death of Adonis,ISG,https://www.gardnermuseum.org/experience/collection/10760#object-details
4345,Paolo Veronese,Scene from the Metamorphoses of Ovid: The Birth of Adonis,ISG,https://www.gardnermuseum.org/experience/collection/10761#object-details
4346,Paolo Veronese,Scene from the Metamorphoses of Ovid: Pygmalion,ISG,https://www.gardnermuseum.org/experience/collection/10762#object-details
4347,Paolo Veronese,Scene from the Metamorphoses of Ovid: The Rape of Proserpine,ISG,https://www.gardnermuseum.org/experience/collection/10763#object-details
4348,Paolo Veronese,Scene from the Metamorphoses of Ovid: The Judgment of Midas,ISG,https://www.gardnermuseum.org/experience/collection/10764#object-details
4349,Paolo Veronese,Scene from the Metamorphoses of Ovid: Perseus and Andromeda,ISG,https://www.gardnermuseum.org/experience/collection/10765#object-details
4350,Paolo Veronese,Scene from the Metamorphoses of Ovid: The Death of Procris,ISG,https://www.gardnermuseum.org/experience/collection/10766#object-details
4351,Paolo Veronese,Scene from the Metamorphoses of Ovid: Apollo Shoots the Sons of Niobe,ISG,https://www.gardnermuseum.org/experience/collection/10767#object-details
4352,Niccòlo Cassana,Pietro Pisani,ISG,https://www.gardnermuseum.org/experience/collection/10768#object-details
4353,Andrea Mantegna,"Detail from The Elephants from ""The Triumph of Caesar""",ISG,https://www.gardnermuseum.org/experience/collection/10769#object-details
4354,Agnolo Bronzino,Studies for the Crucified Haman,ISG,https://www.gardnermuseum.org/experience/collection/10770#object-details
4355,Vittore Carpaccio,A Gondolier (recto); Study of a Man's Head (verso),ISG,https://www.gardnermuseum.org/experience/collection/10771#object-details
4356,Filippino Lippi,The Meeting of Christ and John the Baptist,ISG,https://www.gardnermuseum.org/experience/collection/10773#object-details
4357,"Italian, Umbria",Portrait of a Man with a Cap (after the Portrait of a Man,ISG,https://www.gardnermuseum.org/experience/collection/10774#object-details
4358,Michelangelo Buonarroti,Pietà,ISG,https://www.gardnermuseum.org/experience/collection/10775#object-details
4359,Perugino,A Man Pulling on a Loop,ISG,https://www.gardnermuseum.org/experience/collection/10776#object-details
