,objectid,artist,title,url,stolen,painting
596,11461,"Italian, Venice",Commode (Comò or cassettone),https://www.gardnermuseum.org/experience/collection/11461#object-details,False,True
599,11468,Anita Manson Linzee,Covered Rose Jar,https://www.gardnermuseum.org/experience/collection/11468#object-details,False,True
600,11469,"Italian, Venice",Bottle with Stopper,https://www.gardnermuseum.org/experience/collection/11469#object-details,False,True
604,11474,Venice & Murano Glass & Mosaic Co. Ltd,Goblet of the Campanile,https://www.gardnermuseum.org/experience/collection/11474#object-details,False,True
605,11480,"Italian, Veneto",Tilt-top Table (Tavalo),https://www.gardnermuseum.org/experience/collection/11480#object-details,False,True
610,11487,"Italian, Venice",Mirror (Specchiera),https://www.gardnermuseum.org/experience/collection/11487#object-details,False,True
611,11488,"Italian, Venice",Side Table (Tavolo da muro),https://www.gardnermuseum.org/experience/collection/11488#object-details,False,True
615,11492,Japanese,Wall Clock,https://www.gardnermuseum.org/experience/collection/11492#object-details,False,True
617,11498,Japanese,Box,https://www.gardnermuseum.org/experience/collection/11498#object-details,False,True
619,11501,English,Stand,https://www.gardnermuseum.org/experience/collection/11501#object-details,False,True
622,11505,"Italian, Venice",Tray Table,https://www.gardnermuseum.org/experience/collection/11505#object-details,False,True
645,11539,Johann Froescheis LYRA-Bleistift-Fabrik Gmbh & Co.,Kaiser Wilhelm II Pencil,https://www.gardnermuseum.org/experience/collection/11539#object-details,False,True
657,11556,Chinese,Bowl,https://www.gardnermuseum.org/experience/collection/11556#object-details,False,True
659,11558,"French, Cannes",Shell,https://www.gardnermuseum.org/experience/collection/11558#object-details,False,True
663,11562,Japanese,Set of Five Boxes,https://www.gardnermuseum.org/experience/collection/11562#object-details,False,True
680,11580,Persian,Seal,https://www.gardnermuseum.org/experience/collection/11580#object-details,False,True
688,11590,Unknown,Ring,https://www.gardnermuseum.org/experience/collection/11590#object-details,False,True
690,11594,Norwegian,Hanging Cabinet,https://www.gardnermuseum.org/experience/collection/11594#object-details,False,True
692,11597,Chinese,Salt Shaker,https://www.gardnermuseum.org/experience/collection/11597#object-details,False,True
693,11598,Japanese,Cigarette Box,https://www.gardnermuseum.org/experience/collection/11598#object-details,False,True
715,11624,Japanese,Plovers (Four Sliding Doors),https://www.gardnermuseum.org/experience/collection/11624#object-details,False,True
716,11625,Japanese,Sliding Doors: A Drinking Tiger (recto) and Two Fu Dogs (verso),https://www.gardnermuseum.org/experience/collection/11625#object-details,False,True
717,11628,Italian,Lantern,https://www.gardnermuseum.org/experience/collection/11628#object-details,False,True
722,11639,Kano Yasukuni,Hsi Wang Mu,https://www.gardnermuseum.org/experience/collection/11639#object-details,False,True
743,11662,"Italian, Trentino-Alto Adige",Cabinet (Stipo),https://www.gardnermuseum.org/experience/collection/11662#object-details,False,True
744,11663,Japanese,Hanging Amulet Box (Kake-mamori),https://www.gardnermuseum.org/experience/collection/11663#object-details,False,True
749,11675,"Iranian, Kashan",Ceramic Plate: A Courtly Couple,https://www.gardnermuseum.org/experience/collection/11675#object-details,False,True
758,11693,Pisanello,Medal of Filippo Maria Visconti (reigned 1413-1447),https://www.gardnermuseum.org/experience/collection/11693#object-details,False,True
759,11694,Pisanello,Medal of Sigismondo Pandolfo Malatesta (1417-1468),https://www.gardnermuseum.org/experience/collection/11694#object-details,False,True
760,11695,Pisanello,Medal of Niccolò Piccinino (1380-1444),https://www.gardnermuseum.org/experience/collection/11695#object-details,False,True
761,11696,Matteo De'Pasti,Medal of Isotta degli Atti da Rimini (d.1470),https://www.gardnermuseum.org/experience/collection/11696#object-details,False,True
762,11697,Fra Angelico,The Dormition and Assumption of the Virgin,https://www.gardnermuseum.org/experience/collection/11697#object-details,False,True
763,11698,Bernardino Pinturicchio,The Virigin and Child,https://www.gardnermuseum.org/experience/collection/11698#object-details,False,True
765,11701,Elsie de Wolfe,Sofa Table,https://www.gardnermuseum.org/experience/collection/11701#object-details,False,True
767,11710,Style of                              Gentile da Fabriano,Virgin and Child before a Rose Hedge,https://www.gardnermuseum.org/experience/collection/11710#object-details,False,True
768,11711,"Italian, Rome",Chair (Sedia) Painted with Figures,https://www.gardnermuseum.org/experience/collection/11711#object-details,False,True
770,11716,Lorenzo di Credi,A Boy in a Scarlet Cap,https://www.gardnermuseum.org/experience/collection/11716#object-details,False,True
772,11720,Piero della Francesca,Hercules,https://www.gardnermuseum.org/experience/collection/11720#object-details,False,True
